,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
234,03 08 050 0001, Tinta Amarilla Process Superficie,  TSPAMA1,135.57,kg,    ANA      17/10/02 10:32
235,03 08 050 0019, Tinta Amarillo Process Windsor,  TWPAMA19,0.0,kg,    PACO     03/05/06 14:39
236,03 08 052 0001, Tinta Magenta Process Superficie,  TSPMAG1,65.85,kg,    ANA      17/10/02 10:32
237,03 08 052 0002, Tinta Flexilam Magenta Superficie,  TSFMAG1,0.0,kg,    CLEON    31/07/17  9:50
238,03 08 054 0001, Tinta Cyan Process Superficie,  TSPCYAN1,243.7,kg,    ANA      17/10/02 10:32
239,03 08 054 0002, Tinta Flexilam Cyan Superficie,  TSFCYAN1,0.0,kg,    CLEON    31/07/17  9:54
240,03 08 054 0019, Tinta Cyan Process Windsor,  TWCYAN19,0.0,kg,    PACO     03/05/06 14:39
241,03 08 100 0001, Tinta Oro Superficie,  TSORO1,33.1,kg,    ANA      17/10/02 10:32
242,03 08 110 0001, Tinta Plata Superficie,  TSPLAT1,147.15,kg,    ANA      17/10/02 10:32
243,03 08 900 0001, Tintas Varias Superficie,  TSVAR,4464.39,kg,    PACO     23/04/03 10:43
244,03 09 001 0001, Tinta Hi Tone Negro Superficie,  TSHNEGRO,4.5,kg,    APRIETO  15/09/10 17:04
245,03 09 001 0002, Tinta Hi Tone Amarillo Superficie,  TSHAMAR,0.0,kg,    APRIETO  15/09/10 17:06
246,03 09 001 0003, Tinta Hi Tone Magenta Superficie,  TSHMAG,0.0,kg,    APRIETO  15/09/10 17:07
247,03 09 001 0004, Tinta Hi Tone Cyan Superficie,  TSHCYAN,3.4,kg,    APRIETO  15/09/10 17:13
248,03 11 001 0001, Tinta Hi Tone Negro Laminacion,  TLHNEGRO,0.0,kg,    APRIETO  15/09/10 17:18
249,03 11 001 0002, Tinta Hi Tone Amarillo Proc Laminacion,  TLHAMAPRO,0.0,kg,    APRIETO  15/09/10 17:19
250,03 11 001 0003, Tinta Hi Tone Magenta Laminacion,  TLHMAG,0.0,kg,    APRIETO  15/09/10 17:21
251,03 11 001 0004, Tinta Hi Tone Cyan Laminacion,  TLHCYAN,0.0,kg,    APRIETO  15/09/10 17:22
252,03 12 001 0001, Tinta Blanca Laminaciin,  TLBLAN1,786.77,kg,    ANA      17/10/02 10:32
253,03 12 001 0002, Tinta Flexilam Blanca Laminacion,  TLFBLAN1,246.18,kg,    BEATRIZ  31/03/17 12:18
254,03 12 001 0003, Tinta LamiPet Blanca Laminacion,  TLLPBLAN1,157.75,kg,    CLEON    19/01/18 10:36
255,03 12 004 0001, Tinta PoliPrint 3.0 Amarillo Laminacion,  TLPPAMAR1,108.8,kg,    CLEON    19/01/18 10:29
256,03 12 004 0002, Tinta Amarillo Cromo Laminaciin,  TLAMAR2,274.0,kg,    PACO     04/02/03 17:51
257,03 12 004 0003, Tinta Laminacion Poliprint Magenta,  TLPPMAG1,106.35,kg,    BEATRIZ  20/02/18 17:51
258,03 12 004 0004, Tinta Laminacion Poliprint Negra,  TLPNEGR1,92.1,kg,    BEATRIZ  20/02/18 17:52
259,03 12 004 0005, TINTA LAMINACION POLIPRINT CYAN,  TLPPCYAN,16.1,kg,    BEATRIZ  20/02/18 17:54
260,03 12 007 0001, Tinta Naranja Laminaciin,  TLNARA1,1.41,kg,    ANA      17/10/02 10:32
261,03 12 010 0001, Tinta Roja Medio Laminaciin,  TLROJA1,3.21,kg,    ANA      17/10/02 10:32
262,03 12 010 0002, Tinta Roja Escarlata Laminaciin,  TLROJA2,290.55,kg,    ANA      17/10/02 10:32
263,03 12 013 0001, Tinta Rubine Red Laminaciin,  TLRUBI1,0.0,kg,    ANA      17/10/02 10:32
264,03 12 016 0001, Tinta Rhodamine Red Laminaciin,  TLRODA1,0.0,kg,    ANA      17/10/02 10:32
265,03 12 019 0001, Tinta Pirpura Laminaciin,  TLPURP1,27.1,kg,    ANA      17/10/02 10:32
266,03 12 022 0001, Tinta Violeta Laminaciin,  TLVIOL1,27.65,kg,    ANA      17/10/02 10:32
267,03 12 025 0001, Tinta Azul Laminaciin,  TLAZUL1,0.0,kg,    ANA      17/10/02 10:32
268,03 12 028 0001, Tinta Azul Reflex Laminaciin,  TLAZREF1,147.78,kg,    ANA      17/10/02 10:32
269,03 12 031 0001, Tinta Verde Laminaciin,  TLVERD1,0.0,kg,    ANA      17/10/02 10:32
270,03 12 034 0001, Tinta Negra Laminaciin,  TLNEGR1,116.17,kg,    ANA      17/10/02 10:32
271,03 12 050 0001, Tinta Amarilla Process Laminaciin,  TLPAMA1,283.1,kg,    ANA      17/10/02 10:32
272,03 12 051 0001, Tinta Megafull Amarillo Process Laminaciin,  TLMPAMA1,0.0,kg,    CLEON    20/11/17 15:44
273,03 12 052 0001, Tinta Magenta Process Laminaciin,  TLPMAG1,155.87,kg,    ANA      17/10/02 10:32
274,03 12 054 0001, Tinta Cyan Process Laminaciin,  TLPCYAN1,238.68,kg,    ANA      17/10/02 10:32
275,03 12 100 0001, Tinta Oro Laminaciin,  TLORO1,22.65,kg,    ANA      17/10/02 10:32
276,03 12 110 0001, Tinta Plata Laminaciin,  TLPLAT1,19.85,kg,    ANA      17/10/02 10:32
277,03 12 900 0001, Tintas Varias Laminaciin,  TLVAR,7339.49,kg,    PACO     23/04/03 10:44
278,03 13 001 0001, Tinta Antiperixido Magenta Superficie,  TSAMAG1,58.0,kg,    CLEON    01/10/08 14:41
279,03 13 001 0002, Tinta Antiperixido Cyan Superficie,  TSACYAN1,105.7,kg,    CLEON    17/10/08 16:50
280,03 13 001 0003, Tinta Antiperixido Negro Superficie,  TSANEGR1,101.95,kg,    CLEON    17/10/08 16:51
281,03 13 001 0004, Tinta Antiperixido Amarillo Superficie,  TSAAMA1,71.85,kg,    CLEON    17/10/08 16:51
282,03 13 001 0005, Tinta Antiperixido Blanca Superficie,  TSABLAN1,74.4,kg,    BEATRIZ  26/06/12 15:57
283,03 13 001 0006, Tinta Antiperoxido Azul Reflex Superficie,  TSAAZREF1,9.1,kg,    BEATRIZ  21/03/14 13:43
284,03 15 001 0001, Extender Flexo Superficie,  EXTSUP,100.95,kg,    ANA      17/10/02 10:32
285,03 15 003 0001, Extender Flexo Laminaciin,  EXTLAM,109.1,kg,    ANA      17/10/02 10:32
286,03 15 005 0001, Extender Roto,  EXTROT,70.26,kg,    ANA      17/10/02 10:32
